Number,Song,Artist,Streams,,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
14,Butter,BTS,3184258,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
15,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,3152686,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
16,traitor,Olivia Rodrigo,2929510,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
17,deja vu,Olivia Rodrigo,2877332,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
18,AM Remix,Nio Garcia,2818264,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
19,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2795168,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
20,Volando - Remix,Mora,2605018,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
21,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,2549348,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
22,Ain't Shit,Doja Cat,2440122,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
23,drivers license,Olivia Rodrigo,2369627,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,Motley Crew,Post Malone,2347647,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
25,Blinding Lights,The Weeknd,2341459,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
26,Need To Know,Doja Cat,2325683,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
27,NOT SOBER (feat. Polo G & Stunna Gambino),The Kid LAROI,2322778,,,,,,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
28,Heat Waves,Glass Animals,2276710,,,,,,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
